cas_number,descriptors,smiles,pages,desc_len
105-57-7,"['ether', 'earthi', 'tropic', 'nutti', 'alcohol', 'citrus', 'fruiti', 'dairi', 'green', 'beverag']",CCOC(C)OCC,http://www.thegoodscentscompany.com/data/rw1019481.html,10
84029-93-6,"['floral', 'fruiti', 'tropic']",CCOC(C)OC(C)(CCCC(C)C)C=C,http://www.thegoodscentscompany.com/data/rw1003961.html,3
64577-91-9,"['leafi', 'green', 'veget']",CCCCOC(C)OCCc1ccccc1,http://www.thegoodscentscompany.com/data/rw1001221.html,3
68039-24-7,"['citrus', 'natur', 'lemon']",COC(C)OCCC(C)CCC=C(C)C,http://www.thegoodscentscompany.com/data/rw1000911.html,3
871-22-7,"['floral', 'green', 'rose']",CCCCOC(C)OCCCC,http://www.thegoodscentscompany.com/data/rw1038491.html,3
63449-64-9,"['leafi', 'green', 'herbal']",CC\C=C/CCOC(C)OCC\C=C/CC,http://www.thegoodscentscompany.com/data/rw1030161.html,3
5405-58-3,"['green', 'ether', 'waxi']",CCCCCCOC(C)OCCCCCC,http://www.thegoodscentscompany.com/data/rw1023911.html,3
13002-09-0,"['alcohol', 'ether', 'green', 'ferment', 'fruiti']",CC(C)CCOC(C)OCCC(C)C,http://www.thegoodscentscompany.com/data/rw1408161.html,5
534-15-6,"['alcohol', 'ether', 'green', 'sharp', 'fruiti']",COC(C)OC,http://www.thegoodscentscompany.com/data/rw1018131.html,5
105-82-8,"['green', 'leafi', 'fresh']",CCCOC(C)OCCC,http://www.thegoodscentscompany.com/data/rw1019611.html,3
67715-82-6,['fruiti'],CCOC(C)OCC(COC(C)OCC)OC(C)OCC,http://www.thegoodscentscompany.com/data/rw1036971.html,1
2556-10-7,"['leaf', 'floral', 'herbac', 'lilac', 'green', 'hyacinth', 'leafi', 'fresh', 'herbal', 'natur']",CCOC(C)OCCc1ccccc1,http://www.thegoodscentscompany.com/data/rw1019191.html,10
54340-90-8,"['green', 'herbal', 'cortex']",CCCCCCOC(C)OC,http://www.thegoodscentscompany.com/data/rw1015531.html,3
579-74-8,"['anis', 'powderi', 'almond']",COc1ccccc1C(C)=O,http://www.thegoodscentscompany.com/data/rw1056461.html,3
100-06-1,"['balsam', 'anis', 'caramel', 'powderi', 'nutti', 'aromat', 'gerard', 'almond', 'butter', 'fruiti', 'bitter', 'spici', 'floral', 'vanilla']",COc1ccc(cc1)C(C)=O,http://www.thegoodscentscompany.com/data/rw1000111.html,14
513-86-0,"['dairi', 'creami', 'green', 'fatti', 'butter', 'butteri', 'caramel', 'milki', 'vanilla']",CC(O)C(C)=O,http://www.thegoodscentscompany.com/data/rw1007331.html,9
23147-57-1,"['dairi', 'creami', 'butteri', 'milki']",CC1OC(C)(O)C(C)OC1(C)O,http://www.thegoodscentscompany.com/data/rw1612371.html,4
94089-23-3,"['fatti', 'butteri']",CC1COC(C)(O1)C(C)O,http://www.thegoodscentscompany.com/data/rw1523271.html,2
98-86-2,"['pungent', 'nutti', 'aromat', 'gerard', 'almond', 'strawberri', 'fruiti', 'spici', 'coumarin', 'floral', 'cherri', 'vanilla']",CC(=O)c1ccccc1,http://www.thegoodscentscompany.com/data/rw1000131.html,12
592-20-1,"['dairi', 'nutti', 'butteri', 'fruiti']",CC(=O)COC(C)=O,http://www.thegoodscentscompany.com/data/rw1053041.html,4
57893-27-3,"['green', 'grapefruit', 'herbal', 'citrus']",CC1CCC2(O1)C(C)(C)CCCC2(C)OC(C)=O,http://www.thegoodscentscompany.com/data/rw1037251.html,4
59056-62-1,"['amber', 'woodi', 'vetiv']",CC(=O)OCC1CCC(C)(C)C23CC4CC2C13C4(C)C,http://www.thegoodscentscompany.com/data/rw1017071.html,3
3848-24-6,"['oili', 'creami', 'gerard', 'fatti', 'butter', 'butteri', 'fruiti', 'phenol', 'caramel']",CCCC(=O)C(C)=O,http://www.thegoodscentscompany.com/data/rw1014711.html,9
7493-58-5,"['creami', 'gerard', 'fatti', 'butteri', 'fruiti', 'brown']",CC(C)C(=O)C(C)=O,http://www.thegoodscentscompany.com/data/rw1032821.html,6
80449-58-7,"['amber', 'woodi', 'warm', 'musk']",C[C@@H]1CC[C@]2\3C[C@H]1C(C)(C)[C@@H]2CCC3=C/C(C)=O,http://www.thegoodscentscompany.com/data/rw1408441.html,4
1450-72-2,"['floral', 'herbal']",Cc1ccc(O)c(c1)C(C)=O,http://www.thegoodscentscompany.com/data/rw1158081.html,2
10599-70-9,"['nutti', 'powderi', 'gerard', 'almond', 'roast', 'musti', 'cocoa', 'earthi']",CC(=O)c1cc(C)oc1C,http://www.thegoodscentscompany.com/data/rw1027711.html,8
54300-09-3,"['roast', 'caramel']",CC(=O)c1nc(C)cnc1C,http://www.thegoodscentscompany.com/data/rw1381291.html,2
54300-08-2,"['nutti', 'roast']",CC(=O)c1ncc(C)nc1C,http://www.thegoodscentscompany.com/data/rw1594331.html,2
72797-17-2,"['nutti', 'roast']",Cc1c[n+](cc(C)n1)C(C)=O,http://www.thegoodscentscompany.com/data/rw1001351.html,2
32974-92-8,"['nutti', 'coffe', 'gerard', 'musti', 'chocol', 'cocoa', 'earthi', 'meat', 'meati']",CCc1nccnc1C(C)=O,http://www.thegoodscentscompany.com/data/rw1001401.html,9
1192-62-7,"['balsam', 'caramel', 'milki', 'nutti', 'coffe', 'gerard', 'almond', 'chocol', 'cocoa', 'bakeri', 'brown', 'lacton']",CC(=O)c1occc1,http://www.thegoodscentscompany.com/data/rw1026171.html,12
2719-08-6,"['powderi', 'fruiti']",COC(=O)c1ccccc1NC(C)=O,http://www.thegoodscentscompany.com/data/rw1015551.html,2
1193-79-9,"['nutti', 'gerard', 'coconut', 'musti', 'caramel', 'coumarin']",CC(=O)c1oc(C)cc1,http://www.thegoodscentscompany.com/data/rw1027731.html,6
23787-80-6,"['nutti', 'roast', 'veget', 'caramel']",CC(=O)c1nccnc1C,http://www.thegoodscentscompany.com/data/rw1001571.html,4
7493-59-6,"['dairi', 'creami', 'aldehyd', 'gerard', 'fatti', 'waxi', 'veget']",CCCCCCCCC(=O)C(C)=O,http://www.thegoodscentscompany.com/data/rw1035121.html,7
600-14-6,"['nutti', 'coffe', 'creami', 'gerard', 'almond', 'pungent', 'butter', 'butteri', 'chees', 'chocol', 'fruiti', 'caramel']",CCC(=O)C(C)=O,http://www.thegoodscentscompany.com/data/rw1003991.html,12
22047-25-2,"['nutti', 'coffe', 'gerard', 'roast', 'musti', 'chocol', 'caramel']",CC(=O)c1cnccn1,http://www.thegoodscentscompany.com/data/rw1012201.html,7
1122-62-9,"['nutti', 'tobacco', 'coffe', 'gerard', 'fatti', 'almond', 'musti', 'chocol', 'oili']",CC(=O)c1ccccn1,http://www.thegoodscentscompany.com/data/rw1012221.html,9
350-03-8,"['nutti', 'woodi', 'phenol']",CC(=O)c1cccnc1,http://www.thegoodscentscompany.com/data/rw1012241.html,3
1072-83-9,"['nutti', 'tobacco', 'gerard', 'musti', 'coumarin', 'roast', 'cherri']",CC(=O)c1[nH]ccc1,http://www.thegoodscentscompany.com/data/rw1028421.html,7
774-55-0,"['floral', 'flower', 'orang', 'grape', 'musk']",CC(=O)c1ccc2CCCCc2c1,http://www.thegoodscentscompany.com/data/rw1545871.html,5
24295-03-2,"['nutti', 'gerard', 'almond', 'chocol', 'fruiti', 'cocoa', 'roast', 'meati']",CC(=O)c1sccn1,http://www.thegoodscentscompany.com/data/rw1025671.html,8
88-15-3,"['sulfur', 'nutti']",CC(=O)c1sccc1,http://www.thegoodscentscompany.com/data/rw1038531.html,2
77-90-7,"['wine', 'herbal']",CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,http://www.thegoodscentscompany.com/data/rw1018731.html,2
5240-32-4,"['woodi', 'fresh', 'natur', 'honey']",CC(=O)OC1(CCCCC1)C#C,http://www.thegoodscentscompany.com/data/rw1012811.html,4
141-13-9,"['aldehyd', 'floral', 'rosi', 'green', 'woodi', 'waxi', 'lili', 'fresh', 'ozon', 'herbal']",CC(CCCC(C)C=O)CCC=C(C)C,http://www.thegoodscentscompany.com/data/rw1024451.html,10
23811-08-7,"['spici', 'woodi']",C[C@H]1CCC=C(C)C12CC[C@H](C2)C(C)(C)O,http://www.thegoodscentscompany.com/data/rw1027151.html,2
40188-41-8,"['aldehyd', 'fatti', 'metal', 'lemon', 'citrus']",CC(C)CCCC(C)CC#N,http://www.thegoodscentscompany.com/data/rw1059281.html,5
109-49-9,"['ether', 'floral']",CC(=O)CCC=C,http://www.thegoodscentscompany.com/data/rw1038661.html,2
67634-00-8,"['appl', 'green', 'fruiti', 'herbal', 'pineappl']",CC(C)CCOCC(=O)OCC=C,http://www.thegoodscentscompany.com/data/rw1001841.html,5
7493-63-2,"['leaf', 'creami', 'floral', 'green', 'grape', 'jasmin', 'fruiti']",Nc1ccccc1C(=O)OCC=C,http://www.thegoodscentscompany.com/data/rw1002291.html,7
583-04-0,"['cherri', 'berri', 'floral']",C=CCOC(=O)c1ccccc1,http://www.thegoodscentscompany.com/data/rw1009751.html,3
2051-78-7,"['gerard', 'green', 'pungent', 'waxi', 'fruiti', 'pineappl', 'tropic']",CCCC(=O)OCC=C,http://www.thegoodscentscompany.com/data/rw1017881.html,7
1866-31-5,"['balsam', 'peach', 'apricot', 'fruiti']",C=CCOC(=O)\C=C\c1ccccc1,http://www.thegoodscentscompany.com/data/rw1117191.html,4
7493-65-4,"['fatti', 'pineappl', 'fruiti']",C=CCOC(=O)CCCC1CCCCC1,http://www.thegoodscentscompany.com/data/rw1002551.html,3
7493-66-5,"['fatti', 'fruiti']",C=CCOC(=O)CCCCCC1CCCCC1,http://www.thegoodscentscompany.com/data/rw1002601.html,2
2705-87-5,"['appl', 'herbac', 'floral', 'gerard', 'green', 'waxi', 'fruiti', 'pineappl', 'tropic']",C=CCOC(=O)CCC1CCCCC1,http://www.thegoodscentscompany.com/data/rw1000322.html,9
57856-81-2,"['fatti', 'pineappl', 'fruiti']",CCCCCCCCCC(=O)OCC=C,http://www.thegoodscentscompany.com/data/rw1038711.html,3
7493-69-8,"['cherri', 'peach']",CCC(CC)C(=O)OCC=C,http://www.thegoodscentscompany.com/data/rw1027771.html,2
142-19-8,"['banana', 'appl', 'pineappl', 'tropic', 'alcohol', 'ferment', 'gerard', 'ripe', 'waxi', 'fruiti', 'mushroom', 'floral', 'beverag']",CCCCCCC(=O)OCC=C,http://www.thegoodscentscompany.com/data/rw1021051.html,13
7493-72-3,"['creami', 'gerard', 'waxi', 'wine', 'fruiti', 'pineappl', 'winey']",CCCCCCCCC(=O)OCC=C,http://www.thegoodscentscompany.com/data/rw1002841.html,7
68132-80-9,"['musk', 'rose', 'fruiti']",CCC(C)(C)CCCC(=O)OCC=C,http://www.thegoodscentscompany.com/data/rw1038751.html,3
4230-97-1,"['banana', 'appl', 'aldehyd', 'gerard', 'fatti', 'green', 'pine', 'waxi', 'fruiti', 'pineappl', 'tropic']",CCCCCCCC(=O)OCC=C,http://www.thegoodscentscompany.com/data/rw1002871.html,11
14289-65-7,"['floral', 'green', 'fresh', 'mushroom', 'fruiti', 'honey']",C=CCOCCc1ccccc1,http://www.thegoodscentscompany.com/data/rw1038811.html,6
7493-74-5,"['green', 'aromat', 'fresh', 'herbal', 'fruiti', 'pineappl', 'honey']",C=CCOC(=O)COc1ccccc1,http://www.thegoodscentscompany.com/data/rw1028371.html,7
1797-74-6,"['fruiti', 'honey']",C=CCOC(=O)Cc1ccccc1,http://www.thegoodscentscompany.com/data/rw1002911.html,2
2408-20-0,"['appl', 'gerard', 'ripe', 'sharp', 'fruiti', 'tropic', 'pineappl', 'apricot']",CCC(=O)OCC=C,http://www.thegoodscentscompany.com/data/rw1002921.html,8
10484-09-0,"['pineappl', 'banana', 'fruiti']",Oc1ccccc1C(=O)OCC=C,http://www.thegoodscentscompany.com/data/rw1002941.html,3
30895-79-5,"['pineappl', 'fruiti']",C/C=C/C=C/C(=O)OCC=C,http://www.thegoodscentscompany.com/data/rw1002961.html,2
7493-75-6,"['pineappl', 'fruiti']",C/C=C/C=C/C(=O)OCC=C,http://www.thegoodscentscompany.com/data/rw1408831.html,2
105463-44-3,"['camphor', 'woodi', 'earthi']",CC1(C)CCCCC(C)(C)C1(O)CC=C,http://www.thegoodscentscompany.com/data/rw1002391.html,3
71500-37-3,"['pineappl', 'spici', 'fruiti']",CC(CC(=O)OCC=C)CC(C)(C)C,http://www.thegoodscentscompany.com/data/rw1408951.html,3
7493-76-7,"['pineappl', 'fruiti', 'waxi']",C=CCCCCCCCCC(=O)OCC=C,http://www.thegoodscentscompany.com/data/rw1003051.html,3
2835-39-4,"['banana', 'appl', 'gerard', 'cherri', 'pungent', 'wine', 'fruiti', 'pineappl']",CC(C)CC(=O)OCC=C,http://www.thegoodscentscompany.com/data/rw1003061.html,8
37172-02-4,"['amber', 'woodi']",CCC(C)C1CCCCC1(OC(C)=O)C=C,http://www.thegoodscentscompany.com/data/rw1052371.html,2
139504-68-0,"['amber', 'woodi']",CCC(O)COC1CCCCC1C(C)(C)C,http://www.thegoodscentscompany.com/data/rw1100881.html,2
37172-05-7,"['amber', 'woodi']",CCC(C)C1CCCCC1(OC(C)=O)C#C,http://www.thegoodscentscompany.com/data/rw1007201.html,2
58567-11-6,"['amber', 'cedar', 'woodi']",CCOCOC1CCCCCCCCCCC1,http://www.thegoodscentscompany.com/data/rw1016091.html,3
53338-05-9,"['fresh', 'lavend', 'herbal']",CC(C)CCC1(C)OCC=CCO1,http://www.thegoodscentscompany.com/data/rw1031111.html,3
37514-30-0,"['woodi', 'musk', 'tobacco']",COC1(C)CCCCCCCCCCC1,http://www.thegoodscentscompany.com/data/rw1024491.html,3
65405-72-3,"['amber', 'balsam', 'woodi', 'fruiti']",CC1CCC2(C)C(=CCCC2(C)C1OC=O)C,http://www.thegoodscentscompany.com/data/rw1015231.html,4
68611-23-4,"['amber', 'leather', 'metal', 'fresh', 'anim']",CCC(=O)CCC1C(=CCCC1(C)C)C.OCC#C,http://www.thegoodscentscompany.com/data/rw1023391.html,5
3738-00-9,"['musk', 'fresh', 'natur', 'amber', 'woodi']",CC1(C)CCCC2(C)C1CCC3(C)OCCC23,http://www.thegoodscentscompany.com/data/rw1005291.html,5
